Date,Status,Authors,Title,ID
20170814,登録済み,橋本和仁 and 中村龍平 and 大岡英史 and 上田巌 and 松田整,微細藻類培養液の濃縮方法および装置,WO2014136574A1
20190809,登録済み,中村龍平 and 大岡英史 and Bonnet Nadege and Li Ailong and Kong Shuang and Han Hongxian,水電気分解法及び装置、並びに水電気分解の駆動電位の決定方法,JPWO2020032256A1
