Date,Status,Authors,Title,ID
20170814,Public,Kazuhito Hashimoto and Ryuhei Nakamura and Hideshi Ooka and Iwao Ueda and Hitoshi Matsuda,Method for concentrating microalga culture fluid and apparatus therefor,WO2014136574A1
20190809,Public,Ryuhei Nakamura and Hideshi Ooka and Bonnet Nadege and Ailong Li and Shuang Kong and Hongxian Han,"Water electrolysis method and equipment, and method for determining the driving potential of water electrolysis",JPWO2020032256A1
