,type,notes,status,url,preprint,bib_key,j_key,title,pages,volume,year,fullname,abbrv,journal,author,ENTRYTYPE,ID
19,Original,,,https://onlinelibrary.wiley.com/doi/10.1002/anie.202002647,,Li2020Angew,Angew,Enzyme Mimetic Active Intermediates for Nitrate Reduction in Neutral Aqueous Media,9744--9750,59,2020,Angew. Chem. Int. Ed.,Angew. Chem. Int. Ed.,Angew. Chem. Int. Ed.,"Li*, Yamei and Go, Yoo Kyung and Ooka, Hideshi and He, Daoping and Jin, Fangming and Kim*, Sun Hee and Nakamura*, Ryuhei",article,Li2020Angew
18,Original,,,https://www.pnas.org/doi/abs/10.1073/pnas.2008429117,,He2020PNAS,PNAS,Atomic-Scale Evidence for Highly Selective Electrocatalytic N- N Coupling on Metallic MoS$_2$,31631--31638,117,2020,Proc. Natl. Acad. Sci.,Proc. Natl. Acad. Sci.,Proc. Natl. Acad. Sci.,"He, Daoping and Ooka, Hideshi and Kim, Yujeong and Li, Yamei and Jin*, Fangming and Kim*, Sun Hee and Nakamura*, Ryuhei",article,He2020PNAS
20,Original,,,https://pubs.acs.org/doi/abs/10.1021/acs.jpclett.9b01796,,Ooka2019JPCL,JPCL,Shift of the Optimum Binding Energy at Higher Rates of Catalysis,6706--6713,10,2019,J. Phys. Chem. Lett.,J. Phys. Chem. Lett.,J. Phys. Chem. Lett.,"Ooka*, Hideshi and Nakamura, Ryuhei",article,Ooka2019JPCL
21,Original,,,https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201813361,,Li2019Angew,Angew,Stable Potential Windows for Long-Term Electrocatalysis by Manganese Oxides Under Acidic Conditions,5054--5058,58,2019,Angew. Chem. Int. Ed.,Angew. Chem. Int. Ed.,Angew. Chem. Int. Ed.,"Li, Ailong and Ooka, Hideshi and Bonnet, Nadege and Hayashi, Toru and Sun, Yimeng and Jiang, Qike and Li, Can and Han*, Hongxian and Nakamura*, Ryuhei",article,Li2019Angew
22,Original,,,https://academic.oup.com/chemlett/article-abstract/48/8/828/7339142,,He2019ChemLett,ChemLett,Phase-Selective Hydrothermal Synthesis of Metallic MoS$_2$ at High Temperature,5054--5058,58,2019,Chem. Lett.,Chem. Lett.,Chem. Lett.,"He, Daoping and Ooka, Hideshi and Li, Yamei and Jin*, Fangming and Nakamura*, Ryuhei",article,He2019ChemLett
33,Review,,,https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/celc.201801432,,Ooka2019ChemElectroChem,ChemElectroChem,Electrochemistry at Deep-Sea Hydrothermal Vents: Utilization of the Thermodynamic Driving Force Towards the Autotrophic Origin of Life,1316--1323,6,2019,ChemElectroChem,ChemElectroChem,ChemElectroChem,"Ooka, Hideshi and McGlynn, Shawn E. and Nakamura*, Ryuhei",article,Ooka2019ChemElectroChem
23,Original,,,https://onlinelibrary.wiley.com/doi/abs/10.1002/minf.201700139,,Ooka2018MolInf,MolInf,Design Strategy of Multi-Electron Transfer Catalysts Based on a Bioinformatic Analysis of Oxygen Evolution and Reduction Enzymes,1700139,37,2018,Mol. Inform.,Mol. Inform.,Mol. Inform.,"Ooka, Hideshi and Hashimoto, Kazuhito and Nakamura*, Ryuhei",article,Ooka2018MolInf
24,Original,,,https://onlinelibrary.wiley.com/doi/abs/10.1002/adfm.201706319,,Kakizaki2018AFM,AFM,Evidence That Crystal Facet Orientation Dictates Oxygen Evolution Intermediates on Rutile Manganese Oxide,1706319,28,2018,Adv. Funct. Mater.,Adv. Funct. Mater.,Adv. Funct. Mater.,"Kakizaki, Hirotaka and Ooka, Hideshi and Hayashi, Toru and Yamaguchi, Akira and Bonnet-Mercier, Nadege and Hashimoto, Kazuhito and Nakamura*, Ryuhei",article,Kakizaki2018AFM
25,Original,,,https://pubs.acs.org/doi/abs/10.1021/jacs.7b12774,,He2018JACS,JACS,Selective Electrocatalytic Reduction of Nitrite to Dinitrogen Based on Decoupled Proton--Electron Transfer,2012--2015,140,2018,J. Am. Chem. Soc.,J. Am. Chem. Soc.,J. Am. Chem. Soc.,"He, Daoping and Li, Yamei and Ooka, Hideshi and Go, Yoo Kyung and Jin*, Fangming and Kim*, Sun Hee and Nakamura*, Ryuhei",article,He2018JACS
26,Original,,,https://pubs.acs.org/doi/abs/10.1021/acs.langmuir.7b00696,,Ooka2017Langmuir,Langmuir,Competition Between Hydrogen Evolution and Carbon Dioxide Reduction on Copper Electrodes in Mildly Acidic Media,9307--9313,33,2017,Langmuir,Langmuir,Langmuir,"Ooka, Hideshi and Figueiredo, Marta C. and Koper*, Marc T. M.",article,Ooka2017Langmuir
27,Original,,,https://pubs.rsc.org/en/content/articlehtml/2017/cc/c7cc02204b,,Ooka2017ChemCom,ChemCom,Element Strategy of Oxygen Evolution Electrocatalysis Based on in Situ Spectroelectrochemistry,7149--7161,53,2017,Chem. Commun.,Chem. Commun.,Chem. Commun.,"Ooka, Hideshi and Takashima, Toshihiro and Yamaguchi, Akira and Hayashi, Toru and Nakamura*, Ryuhei",article,Ooka2017ChemCom
28,Original,,,https://pubs.acs.org/doi/abs/10.1021/acs.jpcc.7b03749,,Ooka2017JPCC,JPCC,Efficiency of Oxygen Evolution on Iridium Oxide Determined From the pH Dependence of Charge Accumulation,17873--17881,121,2017,J. Phys. Chem. C,J. Phys. Chem. C,J. Phys. Chem. C,"Ooka, Hideshi and Yamaguchi, Akira and Takashima, Toshihiro and Hashimoto, Kazuhito and Nakamura*, Ryuhei",article,Ooka2017JPCC
29,Original,,,https://pubs.rsc.org/en/content/articlehtml/2016/cp/c6cp02385a,,Ooka2016PCCP,PCCP,Legitimate Intermediates of Oxygen Evolution on Iridium Oxide Revealed by in Situ Electrochemical Evanescent Wave Spectroscopy,15199--15204,18,2016,Phys. Chem. Chem. Phys.,Phys. Chem. Chem. Phys.,Phys. Chem. Chem. Phys.,"Ooka, Hideshi and Wang, Yuanqing and Yamaguchi, Akira and Hatakeyama, Makoto and Nakamura, Shinichiro and Hashimoto*, Kazuhito and Nakamura*, Ryuhei",article,Ooka2016PCCP
30,Original,,,https://pubs.rsc.org/en/content/articlehtml/2014/ra/c4ra02101k,,Ooka2014RSCAdv,RSCAdv,Light-Induced Cell Aggregation of Euglena Gracilis Towards Economically Feasible Biofuel Production,20693--20698,4,2014,RSC Adv.,RSC Adv.,RSC Adv.,"Ooka, Hideshi and Ishii, Takumi and Hashimoto*, Kazuhito and Nakamura*, Ryuhei",article,Ooka2014RSCAdv
