Title,Author,Journal,Year,Volume,Pages,URL,Type,Date,doi,Notes
電極触媒開発のための数理,大岡英史,水素エネルギー協会(HESS)会誌,2024,49,175--176,,Perspective,,,
触媒開発に向けた理論開拓,大岡英史,CanApple ニュース,2022,0,,http://www.canapple.com/doc/newsletter/news_238.pdf,Perspective,20220722,,
実験・数理・機械学習の融合による触媒理論の開拓,大岡英史,Chem-Station,2021,0,,https://www.chem-station.com/blog/2021/07/mla.html,Interview,20210715,,
水を電気分解し続けるマンガン触媒の動作条件を発見 :希少元素に依存しない水素製造へ期待,中村 龍平 and 李 愛龍 and 大岡 英史 and 韓 洪宪,Japan Energy and Technology Intelligence：特集 触媒技術と製品展開,2019,67,46--48,,Perspective,20191000,,
水分解触媒のための元素戦略,大岡英史 and 山口晃 and 橋本和仁 and 中村龍平,化学工業 特集/人工光合成研究と最新技術,2014,65,15--20,,Review,20140000,,
